Log Source
Extension 1005 (Sales)
Registered
Clear View
Live
EXT 1005 (Sales)
registered
Timestamp	Level	Source	Message
—		—	[2026-07-29T17:48:39.352Z] 2026/07/29 17:48:39 WARN SIP request handler not found caller=Server method=NOTIFY
—		—	[2026-07-29T17:49:54.565Z] 2026/07/29 17:49:54 INVITE received for call: e4ab7f1b-41f0-4e6e-8a89-bf2449fb28f5, auto-answering using sipgo.
—		—	[2026-07-29T17:49:54.573Z] 2026/07/29 17:49:54 RTP listener created on 0.0.0.0:44123
—		—	[2026-07-29T17:49:54.615Z] 2026/07/29 17:49:54 200 OK with SDP sent to caller.
—		—	[2026-07-29T17:49:54.615Z] 2026/07/29 17:49:54 Stored remote Contact for dialog: sip:+212661209845@192.168.11.90:5060
—		—	[2026-07-29T17:49:54.616Z] 2026/07/29 17:49:54 Registered dialog for call: e4ab7f1b-41f0-4e6e-8a89-bf2449fb28f5
—		—	[2026-07-29T17:49:54.616Z] 2026/07/29 17:49:54 Parsed remote audio port: 17046
—		—	[2026-07-29T17:49:54.616Z] 2026/07/29 17:49:54 Remote RTP destination: 192.168.11.90:17046
—		—	[2026-07-29T17:49:54.616Z] 2026/07/29 17:49:54 Routing call to ElevenLabs Conversational AI
—		—	[2026-07-29T17:49:54.616Z] 2026/07/29 17:49:54 Using AI provider: elevenlabs
—		—	[2026-07-29T17:49:54.616Z] 2026/07/29 17:49:54 Sending NAT hole-punch packets to 192.168.11.90:17046
—		—	[2026-07-29T17:49:54.616Z] 2026/07/29 17:49:54 WARN SIP request handler not found caller=Server method=ACK
—		—	[2026-07-29T17:49:54.786Z] 2026/07/29 17:49:54 Connecting to ElevenLabs Conversational AI (agent: agent_3201kyqczxkcetgbtq29k0kge5bc)...
—		—	[2026-07-29T17:49:54.917Z] 2026/07/29 17:49:54 INVITE received for call: e4ab7f1b-41f0-4e6e-8a89-bf2449fb28f5, auto-answering using sipgo.
—		—	[2026-07-29T17:49:54.917Z] 2026/07/29 17:49:54 RTP listener created on 0.0.0.0:41446
—		—	[2026-07-29T17:49:54.917Z] 2026/07/29 17:49:54 200 OK with SDP sent to caller.
—		—	[2026-07-29T17:49:54.917Z] 2026/07/29 17:49:54 Stored remote Contact for dialog: sip:unknown@192.168.11.90:5060
